Name,P1,P2,P3,Sal,LogSal,kWAR_score
이정후,130.8468700478707,-0.010005698468977775,-0.01494809579650042,23000,10.043249494911286,290.201
김하성,141.24818392704276,0.16720316977865218,0.00722784141085902,32000,10.373491181781864,785.83
정은원,89.5456757497901,0.058752867635915355,0.02660311214206546,5500,8.612503371220562,702.721
이천웅,102.6218851434114,-0.03036877053351226,0.008191989441594678,15000,9.615805480084347,420.339
최정,141.34326525118828,-0.028601612175450566,0.03232977313765135,120000,11.695247021764184,661.361
전준우,119.66815640882163,0.04897426008840942,0.014121361173340419,50000,10.819778284410283,232.726
김현수,114.37368862821033,-0.026420796457405762,0.00989297104142973,130000,11.77528972943772,166.4
박해민,77.56619197443948,0.04435117660758667,0.021756613744484437,36000,10.491274217438248,456.506
김재환,106.19751285170851,-0.005395962948932478,0.038802856804206955,73000,11.198214720130528,202.0
손아섭,97.72263283371889,0.05993311037508333,0.013790852848433306,150000,11.918390573078392,210.134
유한준,109.46608213388811,-0.02209392419785584,0.005751532492700181,60000,11.002099841204238,74.774
최형우,120.67936254973883,-0.07656642077574695,0.02543004225276981,150000,11.918390573078392,70.0
이대호,96.00664593266472,-0.06009684531728043,0.02221868190338392,250000,12.429216196844383,0.0
오지환,84.7129625282019,0.10051778285748074,0.030618318581796124,40000,10.596634733096073,864.065
이명기,85.2508240444523,-0.01921345794263834,0.008930618783589804,22000,9.998797732340453,244.788
김상수,85.11905040734533,0.03293266758407434,0.012649975744925102,25000,10.126631103850338,585.671
박찬호,67.20797291592463,0.0022382734416413063,0.021170362945218277,4200,8.34283980427146,734.27
허경민,85.91462744156213,0.005727715811493249,0.0072446765881644835,38500,10.558413520275876,631.056
박건우,111.17986504899548,0.043419215321792694,0.007898674303511852,38500,10.558413520275876,209.003
박병호,125.3925853917115,-0.06839225068703153,0.05337939394479971,150000,11.918390573078392,0.0
오재일,109.73651867271991,-0.026072743409719445,0.030968302377225768,30000,10.308952660644293,0.0
박민우,111.29783330091608,-0.061814211189350335,-0.00578169977882317,38000,10.545341438708522,547.529
구자욱,92.50033959169112,0.08336176259381077,0.024283985641292354,30000,10.308952660644293,172.499
김민혁,70.33176602077454,-0.04496219010627483,0.01403666309747742,3900,8.268731832117737,215.58900000000003
채은성,96.32950129155732,-0.025799853712997603,0.014230399282225949,31000,10.341742483467284,175.493
정수빈,78.23350481680254,-0.048937976772691204,0.018204491368924557,24500,10.106428396532818,401.017
고종욱,92.08239531501758,-0.001047828774149553,0.01218311500655252,11000,9.305650551780507,102.206
황재균,97.83687119513822,0.08307250525833172,0.015805339080255505,120000,11.695247021764184,602.866
박세혁,83.7853149453446,0.004405898042878013,0.014559548634400439,10000,9.210340371976184,1062.025
강백호,113.42998000270693,0.04031773790751766,0.011602350922679456,12000,9.392661928770137,127.421
이재원,74.79885529954842,-0.025067664285302216,0.020665706737386626,140000,11.84939770159144,1034.754
한동민,84.8066096659784,-0.048441997778534376,0.030856690253376635,33000,10.404262840448617,151.134
김태균,86.06686553531732,-0.007845668081579027,0.02448274568934709,100000,11.512925464970229,0.0
박경수,66.67135090796745,-0.031217304967674504,0.04085591858116691,40000,10.596634733096073,580.759
서건창,88.79002729174474,-0.021979071489793306,0.0063215085513903995,35000,10.46310334047155,282.251
송광민,55.96724514443073,0.05238006530343006,0.025090212079603654,25000,10.126631103850338,554.596
이형종,88.0635651145831,0.037828885571247146,0.02604844051811755,17000,9.740968623038354,182.842
이성열,84.57093036771653,0.08281439123700546,0.03863435491388187,32000,10.373491181781864,75.194
김성현,49.25900427019935,-0.01274301639544713,0.00944907426841992,28000,10.239959789157341,872.849
김재호,76.76628005473147,-0.008217646867853458,0.02261619301461492,65000,11.082142548877775,778.771
이창진,73.09536501784339,0.03431220761607347,0.027550586370064575,3100,8.039157390473237,406.937
유강남,72.56665113692695,-0.038812518941589616,0.032791932180969145,21000,9.95227771670556,960.583
김헌곤,74.02897707276068,0.02203439447909712,0.004609149288149807,15500,9.648595302907339,204.6
김강민,66.02997020043368,0.07819299908170933,0.025855964398085525,40000,10.596634733096073,374.764
양의지,122.14262505219351,-0.013807641329981985,0.0018841676468791919,200000,12.206072645530174,721.16
이원석,75.47551534606359,-0.0006385132033719796,0.03359481838972913,30000,10.308952660644293,406.843
오선진,47.279090193247804,0.021840045836766738,0.02326342274839136,7500,8.922658299524402,760.8430000000001
최재훈,74.47455030556219,-0.0150688582565508,0.013506528011933172,12500,9.433483923290392,1015.511
김선빈,74.14338017130179,-0.012562003788909796,-0.001004618472290188,30000,10.308952660644293,698.688
노수광,59.188302201416576,0.005944166966969168,0.018313328549861622,26500,10.184900011974314,234.149
박석민,86.53683891439162,-0.030823544520554323,0.025798418983115624,75000,11.225243392518447,261.527
심우준,61.04063567689831,0.020014662556054275,0.012634287527432795,8500,9.047821442478408,802.905
정주현,39.13682748539566,0.02274658611795104,0.029137340805306187,8800,9.082507000466299,568.62
민병헌,82.91045076908956,0.06011942791279203,0.006265988806454206,125000,11.736069016284437,311.7
정의윤,73.15004278698486,-0.04501097819508594,0.018848746591652563,30000,10.308952660644293,74.05799999999999
임병욱,43.57629000824587,-0.017542907166745517,0.03363976652347822,10000,9.210340371976184,356.44
권희동,62.050011551843674,0.006297748108237174,0.016809819366165695,14000,9.546812608597396,155.383
장성우,51.29987177130694,-0.024500977888488405,0.030298137421456147,9500,9.159047077588632,905.288
신본기,42.76622747041305,-0.00882414687351824,0.013312169230815005,16000,9.680344001221918,723.0
장영석,48.059234534231905,-0.02275180650106381,0.02887725683857121,5300,8.575462099540212,292.803
안치홍,77.08391717526469,-0.006065665013693733,0.0013048093102345263,50000,10.819778284410283,425.345
김민성,52.38957043697836,0.006148028505646486,0.020936043760417848,40000,10.596634733096073,492.377
김태진,57.26782078725429,0.042369056199460256,0.014061267949965515,3300,8.101677747454572,262.562
강민호,55.0908527678491,-0.0262229053060991,0.032754471772239106,125000,11.736069016284437,832.738
오태곤,52.8324245252032,0.07107555527410005,0.020724759667290864,8000,8.987196820661973,16.384999999999998
노진혁,63.18552407109261,-0.0328495081762171,0.030858843605593277,10000,9.210340371976184,569.7819999999999
김혜성,57.21849832987358,-0.030387261111833475,0.02640147977859852,7000,8.85366542803745,598.641
모창민,75.02031439230046,0.0060253471831768655,0.022352180495441496,30000,10.308952660644293,0.0
김주찬,56.34531044039582,-0.005371891861122905,0.005345150982315724,40000,10.596634733096073,13.134
박동원,65.37244556119934,-0.0219766106222688,0.012479467255440642,9000,9.104979856318357,606.784
장진혁,44.77972650697918,-0.002881115858001145,0.021663561337445125,3800,8.242756345714477,216.425
김성욱,44.11690799507699,0.058697783858946424,0.026825130663164637,13000,9.472704636443673,297.528
이지영,37.93479383122094,-0.009336301702983593,-0.0007711966968401102,21000,9.95227771670556,601.37
최주환,48.439319152264304,-0.02772735620961378,0.017538155698892107,38500,10.558413520275876,295.925
류지혁,37.87487942466563,-0.0219265805097408,0.013135539623825663,12500,9.433483923290392,430.931
강로한,33.94954993201811,0.04549044936668372,0.033414607326782385,2900,7.9724660159745655,449.717
정근우,39.807230946593535,0.022235961132814404,0.006864534497298487,70000,11.156250521031495,137.831
한승택,25.474756638823678,0.009987699129342359,0.02861010867340972,6000,8.699514748210191,696.384
이원재,40.09358762846764,-0.002258485123954287,0.01712877537269515,5000,8.517193191416238,31.934
최영진,34.882947608748054,0.028685416109632513,0.011706350889047609,5300,8.575462099540212,196.761
이상호,27.134928838003376,-0.017484808823360756,0.0051532159076246855,8000,8.987196820661973,195.358
최원준,19.09491285254495,0.013632337172507704,0.01889059785852457,10000,9.210340371976184,224.517
김규민,28.71631414759096,0.014889236238759464,0.022123719336225065,5800,8.66561319653451,104.586
나주환,18.97623077021012,0.010410944251091514,0.01830986032554047,32000,10.373491181781864,278.04200000000003
박승욱,24.883749572777905,0.024994616686452777,0.012434448619393038,6600,8.794824928014517,181.675
오윤석,19.676378867795417,-0.007272844137958134,0.016802260375553272,3000,8.006367567650246,112.623
정훈,23.60165570536538,0.018314214320828578,0.014377341305829173,8000,8.987196820661973,63.381
박용택,31.098467374577822,-0.0033522535821245173,0.006225694545217449,80000,11.289781913656018,4.934
김동엽,21.956943436977095,0.024484291731085184,0.01752357347683925,18500,9.825526011066415,25.232
조용호,33.65622230616705,-0.02299926604628609,0.0032208896939992736,4000,8.294049640102028,84.934
김용의,23.120814443913343,-0.011126418710055576,0.01351522056484073,8500,9.047821442478408,14.4
나종덕,-2.0084415075410282,0.01674562586789344,0.03701101898404407,4300,8.366370301681654,551.103
한동희,15.969661877121748,0.012188761414443323,0.0218055265920737,4900,8.496990484098719,193.044
오재원,14.822720122749224,0.041080329297474065,0.018510814845935076,55000,10.915088464214607,281.48
박계범,30.436757314021428,0.03303609076835053,0.014482241540101732,3000,8.006367567650246,278.591
유민상,38.29757544866984,-0.02374958163397365,0.009514422385365082,4300,8.366370301681654,0.0
채태인,23.615979334690675,-0.00967248229023158,0.017902515140432784,20000,9.903487552536127,0.0
윤석민,14.826222448000017,-0.007139782312454246,0.00868020088731122,24000,10.085809109330082,69.633
지석훈,16.074254150900597,-0.005488424284642982,0.014854709196932277,15000,9.615805480084347,250.27
이우성,19.180319072079953,-0.006551303337588683,0.017703507634996094,4000,8.294049640102028,56.394000000000005
허일,18.988527258830917,0.0034311390231919698,0.005942981439351926,3000,8.006367567650246,46.765
김찬형,20.928116695523887,0.0030089243506106213,0.0038725466773535167,4300,8.366370301681654,286.502
나지완,18.30109315806638,-0.005551650109338697,0.01859435896340252,60000,11.002099841204238,15.6
최항,15.466573338579076,-0.007897601098221742,0.007982889621137598,11000,9.305650551780507,164.64
