Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Money_19,Money_20,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSR,wOBA,BABIP,¿¬ºÀ»ó½Â·ü,¿¬ºÀ»ó½ÂÆø
ÀÌ´ëÈ£,0.8323,0.8009,0.8316,0.4074,0.6765,0.5833,0.1,0.4848,0.0,0.0,0.0,0.6364,0.519,0.4444,0.3846,0.4583,0.8261,0.0385,0.7155,0.7454,0.7559,0.6182,1.0,1.0,0.6689,0.6332,0.6473,0.6525,0.4544,0.5469,0.7034,0.7034,0.6637,0.4915,0.0,0.0803,0.4928,0.2102,0.5
¹Úº´È£,0.7971,0.6823,0.9368,0.8148,0.5765,0.5556,0.0,1.0,0.0,0.1,0.0,0.8182,0.9114,0.5556,0.5,1.0,0.3043,0.2308,0.7845,0.5278,0.6457,0.5455,0.5956,0.7973,0.8422,0.9627,0.9149,0.8974,1.0,0.9463,0.8611,0.8611,0.9152,1.0,0.0,0.1801,0.5226,0.322,1.0
¾çÀÇÁö,0.646,0.5884,0.6211,0.5278,0.6765,0.6667,0.0,0.6061,0.1026,0.3,0.0,0.5455,0.5316,0.4444,0.5769,0.2292,0.5652,0.0769,0.6983,0.6806,0.5906,0.6545,0.7978,0.7973,1.0,1.0,1.0,1.0,0.7407,1.0,0.9044,0.9044,0.8218,0.7662,0.2764,0.2039,0.8,0.2102,0.5
¼Õ¾Æ¼·,0.8716,0.8613,0.5684,0.6852,0.7529,0.5556,0.1,0.303,0.3333,0.8,0.0625,0.1818,0.5823,0.1111,0.0385,0.7396,0.2609,0.1538,0.8017,0.5648,0.6929,0.5818,0.5956,0.7973,0.6873,0.5419,0.5996,0.6207,0.3506,0.5347,0.7091,0.7091,0.672,0.3148,0.4688,0.0422,0.7352,0.322,1.0
ÃÖÇü¿ì,0.8447,0.736,0.8105,0.5648,0.6706,0.8056,0.1,0.5152,0.0,0.1,0.0,0.6364,1.0,0.6667,0.2692,0.5833,0.5652,0.0,0.8276,0.6713,0.8031,0.5818,0.5956,0.5946,0.8987,0.7638,0.8173,0.8369,0.7658,0.8131,0.8701,0.8701,0.8411,0.6238,0.0,0.1252,0.6443,0.2102,0.5
±èÇö¼ö,0.9275,0.8926,0.7684,0.6574,0.8059,0.9722,0.0,0.3333,0.0769,0.1,0.0,0.8182,0.6076,1.0,0.2308,0.3229,0.4783,0.0385,0.9397,0.7894,0.874,0.8,0.5148,0.5136,0.7271,0.639,0.674,0.6868,0.4563,0.6019,0.8417,0.8417,0.7777,0.4231,0.1955,0.0539,0.5934,0.2102,0.5
ÀÌÀç¿ø,0.735,0.7248,0.6947,0.2685,0.5765,0.4722,0.0,0.3636,0.0256,0.0,0.0625,0.6364,0.3544,0.2222,0.3462,0.3958,0.6957,0.2308,0.7155,0.6551,0.7638,0.6545,0.5552,0.5136,0.5574,0.5152,0.5319,0.5381,0.323,0.4234,0.5553,0.5553,0.5145,0.3794,0.0766,0.0916,0.4118,0.1864,0.4
°­¹ÎÈ£,0.5093,0.4899,0.3789,0.2963,0.3412,0.5,0.0,0.3939,0.0,0.0,0.125,0.2727,0.3418,0.2222,0.3462,0.5729,0.3913,0.3077,0.4483,0.2824,0.3937,0.2909,0.4945,0.4933,0.5063,0.5531,0.5345,0.5277,0.5213,0.4598,0.4033,0.4033,0.393,0.57,0.0,0.2371,0.3043,0.2102,0.5
¹Îº´Çå,0.5652,0.5414,0.3579,0.4444,0.5235,0.6111,0.2,0.2727,0.3333,0.6,0.0625,0.2727,0.4557,0.0,0.1923,0.3542,0.3913,0.0769,0.5431,0.2644,0.378,0.3636,0.4945,0.4933,0.7661,0.6793,0.7137,0.7263,0.5542,0.678,0.6185,0.6185,0.5568,0.4858,0.4411,0.1935,0.6935,0.2102,0.5
ÃÖÁ¤,0.9503,0.8412,0.9474,0.7593,0.7294,0.6944,0.0,0.8788,0.0769,0.2,0.0,0.7273,0.7975,0.6667,1.0,0.7396,0.1739,0.5385,1.0,0.7917,0.8346,0.7818,0.4743,0.473,0.8456,0.8539,0.8506,0.8494,0.7685,0.8794,0.9943,0.9943,1.0,0.7903,0.2255,0.1095,0.5234,0.2102,0.5
È²Àç±Õ,0.7453,0.7181,0.6105,0.6852,0.6118,0.3889,0.3,0.6061,0.2564,0.7,0.0,0.4545,0.5823,0.2222,0.0769,0.5208,0.4348,0.4231,0.5862,0.4815,0.5354,0.4182,0.4743,0.473,0.6761,0.716,0.7002,0.6944,0.5887,0.6436,0.7035,0.7035,0.6774,0.6191,0.5529,0.1166,0.4861,0.2102,0.5
¹Ú¿ëÅÃ,0.1408,0.1521,0.1368,0.1389,0.1882,0.1944,0.0,0.0303,0.0769,0.1,0.0,0.1818,0.1519,0.1111,0.0,0.0938,0.1304,0.0,0.1983,0.1366,0.189,0.1636,0.3126,0.3109,0.6062,0.3923,0.4772,0.5083,0.2101,0.3917,0.2737,0.2737,0.1873,0.1424,0.0622,0.5635,0.6448,0.2102,0.5
¹Ú¼®¹Î,0.6149,0.5213,0.6842,0.4167,0.4294,0.4167,0.1,0.5758,0.0256,0.2,0.25,0.2727,0.7468,0.2222,0.4615,0.5,0.7391,0.4231,0.6293,0.4745,0.5669,0.4727,0.2924,0.2704,0.8209,0.7457,0.7755,0.7865,0.7995,0.7406,0.6291,0.6291,0.6042,0.7293,0.0788,0.2228,0.4029,0.1864,0.45
±èÀçÈ£,0.6687,0.5593,0.4105,0.4352,0.4588,0.5556,0.0,0.1212,0.0769,0.3,0.5,1.0,0.7722,0.3333,0.2692,0.3854,0.4348,0.3846,0.7328,0.4306,0.5512,0.4182,0.2519,0.2501,0.7633,0.4305,0.5626,0.6109,0.4693,0.5486,0.5634,0.5634,0.5324,0.2548,0.1422,0.147,0.4966,0.2102,0.5
±èÀçÈ¯,0.8841,0.8233,0.8632,0.6667,0.6882,0.5,0.5,0.4545,0.0769,0.1,0.0,1.0,0.7215,0.5556,0.1923,0.9583,0.3043,0.0,0.7759,0.7384,0.8268,0.6909,0.2843,0.2501,0.6976,0.6313,0.6576,0.6672,0.5264,0.6182,0.7411,0.7411,0.7633,0.4955,0.2073,0.0609,0.6736,0.1729,0.42
³ªÁö¿Ï,0.0124,0.0045,0.0842,0.0741,0.0059,0.0833,0.0,0.1818,0.0,0.0,0.0,0.1818,0.1646,0.1111,0.1154,0.1667,0.1304,0.0,0.0431,0.0231,0.0079,0.0182,0.2317,0.2298,0.4505,0.447,0.4484,0.4489,0.6271,0.4273,0.1687,0.1687,0.115,0.6005,0.0,1.0,0.0,0.2102,0.5
¿ÀÁöÈ¯,0.8282,0.774,0.4632,0.5463,0.5647,0.5833,0.5,0.2727,0.6923,0.5,0.4375,0.2727,0.6456,0.1111,0.2692,0.9583,0.3043,0.4615,0.8017,0.4907,0.7087,0.5091,0.1508,0.2298,0.6036,0.4841,0.5315,0.5489,0.5444,0.5539,0.5898,0.5898,0.6075,0.3987,0.5598,0.0742,0.567,0.3797,0.7
±èÇÏ¼º,0.9896,0.9239,1.0,1.0,0.8412,1.0,0.2,0.5758,0.8462,0.4,0.0625,0.6364,0.8101,0.4444,0.2692,0.6146,0.5217,0.7692,0.9138,1.0,1.0,1.0,0.1185,0.2096,0.8059,0.7798,0.7902,0.794,0.7659,0.8408,1.0,1.0,0.9767,0.6203,1.0,0.0698,0.6599,0.4542,0.73
¹Ú¹Î¿ì,0.7847,0.7629,0.3789,0.787,0.8118,0.5833,0.8,0.0303,0.4615,0.7,0.125,0.5455,0.443,0.1111,0.3462,0.1979,0.4348,0.3462,0.6983,0.662,0.4803,0.5091,0.1427,0.1974,0.8589,0.6298,0.7207,0.754,0.325,0.6804,0.8485,0.8485,0.7309,0.2531,0.0786,0.0502,0.8809,0.3356,0.64
±èÅÂ±Õ,0.7308,0.6846,0.5579,0.3981,0.6412,0.5278,0.0,0.1818,0.0769,0.0,0.0,0.7273,0.6076,0.5556,0.1923,0.7604,0.6522,0.0385,0.6466,0.6713,0.6142,0.5455,0.3934,0.1893,0.7762,0.5275,0.6262,0.6623,0.3566,0.5535,0.6243,0.6243,0.6006,0.2543,0.1659,0.0934,0.8809,0.0407,0.0
ÀÌ¼º¿­,0.6812,0.6421,0.8,0.5185,0.4882,0.5278,0.1,0.6364,0.2051,0.4,0.0625,0.3636,0.5316,0.1111,0.3462,0.9688,0.3043,0.1923,0.6379,0.6481,0.6535,0.6,0.1185,0.1893,0.6207,0.7088,0.6738,0.661,0.6833,0.641,0.58,0.58,0.6169,0.716,0.4804,0.1691,0.5116,0.4,0.68
À¯ÇÑÁØ,0.8592,0.8367,0.8105,0.5278,0.8,0.4722,0.1,0.4242,0.0769,0.0,0.0,0.4545,0.5823,0.1111,0.1538,0.4167,0.8696,0.0769,0.8534,0.9491,0.8425,0.8909,0.2317,0.1893,0.7784,0.6544,0.7036,0.7216,0.3979,0.6033,0.8134,0.8134,0.7374,0.3943,0.2049,0.0554,0.7042,0.1525,0.4
ÀüÁØ¿ì,0.9503,0.9351,0.7789,0.75,0.8294,0.7778,0.1,0.6667,0.2051,0.2,0.0625,0.6364,0.5063,0.2222,0.2692,0.5208,0.8261,0.1538,0.8793,0.6944,0.937,0.7091,0.1913,0.1893,0.6828,0.7535,0.7254,0.7152,0.5452,0.6382,0.8604,0.8604,0.8264,0.6065,0.4865,0.0593,0.5597,0.2102,0.5
Çã°æ¹Î,0.8137,0.7785,0.5368,0.6204,0.6706,0.6389,0.1,0.1212,0.2821,0.5,0.1875,1.0,0.3544,0.2222,0.6538,0.1562,0.6957,0.3077,0.7241,0.6852,0.5984,0.5818,0.1448,0.1812,0.6484,0.4633,0.5367,0.5637,0.2402,0.4582,0.6459,0.6459,0.5756,0.2231,0.2433,0.0531,0.5001,0.2949,0.595
¿ÀÀçÀÏ,0.7909,0.7606,0.9789,0.6667,0.6706,0.75,0.1,0.6364,0.0513,0.1,0.0,0.3636,0.6203,0.1111,0.1154,0.8125,0.2174,0.1538,0.6466,0.7139,0.7559,0.7455,0.1104,0.1771,0.7226,0.7901,0.7633,0.7535,0.6688,0.7184,0.7797,0.7797,0.7755,0.6908,0.1514,0.1259,0.6725,0.4034,0.67
±è¼±ºó,0.6211,0.5973,0.3263,0.4722,0.5412,0.5556,0.0,0.0909,0.1282,0.4,0.3125,0.3636,0.4684,0.0,0.0385,0.0521,0.3043,0.3846,0.6034,0.463,0.4409,0.4182,0.1104,0.169,0.687,0.4633,0.5521,0.5846,0.2921,0.4703,0.58,0.58,0.4795,0.2097,0.1555,0.1323,0.5285,0.3797,0.65
¹Ú°Ç¿ì,0.8075,0.7405,0.5789,0.7315,0.7235,0.6944,0.5,0.303,0.3077,0.3,0.0625,1.0,0.6835,0.0,0.2692,0.375,1.0,0.1154,0.8276,0.6019,0.6378,0.5273,0.1448,0.169,0.8378,0.7122,0.762,0.7803,0.5797,0.7157,0.8121,0.8121,0.7572,0.4749,0.4524,0.0911,0.7143,0.2678,0.565
±èÁÖÂù,0.4472,0.4698,0.2421,0.287,0.4588,0.3889,0.0,0.0909,0.0769,0.1,0.0625,0.2727,0.1392,0.3333,0.1923,0.2396,0.2609,0.2308,0.4483,0.3796,0.4173,0.3273,0.1508,0.1488,0.6072,0.4721,0.5257,0.5453,0.1495,0.4049,0.448,0.448,0.3638,0.192,0.1244,0.2039,0.6938,0.2102,0.5
¹Ú°æ¼ö,0.7101,0.6577,0.5895,0.3611,0.4765,0.6111,0.0,0.303,0.0,0.1,0.25,0.5455,0.6203,0.1111,0.1538,0.8438,0.6087,0.3462,0.6466,0.5278,0.6772,0.5455,0.1508,0.1488,0.5896,0.4758,0.521,0.5375,0.4702,0.4462,0.4716,0.4716,0.486,0.4042,0.0,0.1273,0.5012,0.2102,0.5
±è¹Î¼º,0.5259,0.5235,0.4316,0.3704,0.4176,0.3889,0.0,0.2424,0.0513,0.1,0.3125,0.0909,0.3038,0.0,0.1538,0.5625,0.5217,0.2308,0.319,0.456,0.4173,0.4545,0.1508,0.1488,0.5409,0.465,0.4951,0.5062,0.312,0.3866,0.3968,0.3968,0.3592,0.3357,0.1327,0.1873,0.5537,0.2102,0.5
ÀÌÁ¤ÈÄ,1.0,1.0,0.6211,0.8056,1.0,0.8056,1.0,0.1818,0.3333,0.7,0.1875,0.3636,0.4937,0.0,0.1538,0.1979,0.6522,0.0769,0.9569,0.713,0.8031,0.6909,0.0821,0.1447,0.7921,0.6895,0.7302,0.7451,0.3713,0.6389,0.9875,0.9875,0.859,0.3726,0.3405,0.0,0.7848,0.4475,0.66
±è°­¹Î,0.648,0.66,0.4316,0.463,0.5353,0.3333,0.2,0.2424,0.3846,0.8,0.0,0.2727,0.3165,0.3333,0.1538,0.8542,0.087,0.1154,0.5172,0.5417,0.5433,0.4909,0.1508,0.1285,0.5436,0.461,0.4938,0.5058,0.2764,0.4387,0.4722,0.4722,0.4674,0.2915,0.4327,0.1018,0.7104,0.1695,0.45
Á¤±Ù¿ì,0.3271,0.3356,0.2211,0.3056,0.3176,0.2222,0.1,0.0909,0.2051,0.5,0.1875,0.0909,0.1772,0.1111,0.1538,0.2292,0.4783,0.2308,0.3534,0.3472,0.2047,0.3273,0.2721,0.1285,0.5858,0.4192,0.4853,0.5095,0.1973,0.3799,0.3285,0.3285,0.2514,0.1984,0.1809,0.3085,0.611,0.0407,0.15
¼­°ÇÃ¢,0.7019,0.6689,0.3368,0.5833,0.6176,0.5833,0.3,0.0606,0.4359,0.3,0.1875,0.4545,0.5443,0.1111,0.1154,0.3021,0.2174,0.2308,0.6207,0.5417,0.4803,0.5273,0.1306,0.1285,0.7388,0.4951,0.5918,0.6272,0.3816,0.5802,0.6711,0.6711,0.5926,0.2233,0.1484,0.0941,0.683,0.2102,0.5
Á¤¼öºó,0.7578,0.7025,0.3368,0.6574,0.5529,0.4722,0.5,0.0,0.6667,0.8,0.25,0.4545,0.6456,0.0,0.2308,0.4062,0.2609,0.1154,0.6379,0.5093,0.5906,0.4182,0.0882,0.1244,0.6626,0.3594,0.4797,0.5238,0.3698,0.4996,0.5859,0.5859,0.5335,0.159,0.0,0.0661,0.5263,0.3424,0.595
Ã¤Àº¼º,0.7598,0.7673,0.6632,0.5093,0.7353,0.4444,0.1,0.3636,0.0513,0.2,0.0,0.7273,0.2278,0.1111,0.4615,0.4792,0.3913,0.0769,0.8017,0.6292,0.7717,0.7273,0.1144,0.1163,0.68,0.6305,0.6502,0.6573,0.2545,0.5399,0.7119,0.7119,0.6569,0.3685,0.1422,0.0702,0.7279,0.2203,0.51
¹ÚÇØ¹Î,0.8986,0.8479,0.3684,0.5556,0.5765,0.3889,0.7,0.1515,0.6154,0.7,0.75,0.2727,0.6582,0.0,0.0769,0.6354,0.1739,0.0769,0.7155,0.4815,0.6457,0.4364,0.1347,0.1082,0.5204,0.3515,0.4185,0.443,0.3746,0.4176,0.5621,0.5621,0.5404,0.2499,0.3432,0.0227,0.3756,0.1525,0.44
Á¤ÀÇÀ±,0.5631,0.566,0.5263,0.3704,0.4941,0.6111,0.0,0.3939,0.0,0.0,0.0,0.1818,0.3038,0.1111,0.2308,0.4062,0.3913,0.0385,0.5,0.4769,0.5984,0.4909,0.1104,0.1082,0.6165,0.6656,0.6461,0.639,0.4805,0.5447,0.5496,0.5496,0.4989,0.5515,0.0,0.1969,0.5322,0.2102,0.5
ÀÌ¿ø¼®,0.6377,0.5996,0.7053,0.3704,0.4353,0.5,0.0,0.5758,0.0513,0.1,0.125,0.6364,0.4684,0.0,0.3077,0.5417,0.4348,0.5,0.5086,0.5648,0.6299,0.5636,0.1104,0.1082,0.5548,0.6475,0.6108,0.5973,0.6148,0.55,0.5377,0.5377,0.5397,0.6658,0.1501,0.1806,0.2513,0.2102,0.5
¿ÀÀç¿ø,0.118,0.1119,0.0947,0.2407,0.0353,0.1667,0.1,0.0909,0.1538,0.2,0.125,0.0,0.2405,0.0,0.0,0.3021,0.1304,0.2692,0.1379,0.1806,0.1339,0.1273,0.2115,0.1082,0.3171,0.2017,0.2475,0.2643,0.4738,0.2703,0.138,0.138,0.0935,0.3221,0.1659,0.6528,0.0274,0.0576,0.25
¸ðÃ¢¹Î,0.4948,0.4787,0.4842,0.4167,0.4765,0.5278,0.2,0.303,0.0769,0.2,0.0,1.0,0.3165,0.1111,0.1154,0.4271,0.3478,0.1923,0.5,0.375,0.4173,0.3455,0.1104,0.1082,0.6781,0.7154,0.7006,0.6952,0.5014,0.6255,0.5496,0.5496,0.5207,0.5338,0.1914,0.2238,0.7004,0.2102,0.5
ÀÌÁö¿µ,0.381,0.4049,0.3158,0.3333,0.3765,0.0833,0.1,0.0303,0.1282,0.1,0.375,0.0909,0.1139,0.1111,0.0385,0.0729,0.6087,0.1154,0.3017,0.5093,0.4409,0.4364,0.074,0.1082,0.5157,0.3169,0.3957,0.4246,0.0,0.2494,0.3314,0.3314,0.2249,0.0283,0.0691,0.2198,0.5479,0.3559,0.59
¾ÈÄ¡È«,0.5404,0.5257,0.4211,0.3796,0.5353,0.4444,0.1,0.1515,0.1026,0.2,0.0,0.4545,0.4304,0.1111,0.0385,0.1667,0.3913,0.4231,0.681,0.4375,0.7008,0.4545,0.1913,0.1042,0.7678,0.5714,0.6493,0.6779,0.3459,0.5685,0.5958,0.5958,0.504,0.2803,0.1843,0.1716,0.6987,0.0678,0.29
ÀÌÃµ¿õ,0.9648,0.9374,0.4105,0.7778,0.8529,0.6111,0.3,0.0606,0.5385,1.0,0.25,0.0909,0.6456,0.1111,0.1923,0.6354,0.5652,0.0385,0.8879,0.5389,0.5512,0.5636,0.0497,0.1001,0.7588,0.4714,0.5855,0.6272,0.2703,0.5258,0.7643,0.7643,0.6922,0.1596,0.1514,0.0011,0.8223,0.5051,0.63
±¸ÀÚ¿í,0.7847,0.7785,0.6526,0.5741,0.6118,0.6944,0.6,0.4545,0.2821,0.3,0.0,0.5455,0.4051,0.2222,0.2692,0.6979,0.2174,0.0769,0.6552,0.5185,0.5591,0.5091,0.1104,0.1001,0.556,0.6573,0.6171,0.6024,0.5501,0.5697,0.6547,0.6547,0.652,0.5948,0.5263,0.094,0.4899,0.1864,0.48
ÃÖÁÖÈ¯,0.3685,0.3535,0.4,0.213,0.3294,0.3056,0.0,0.1212,0.0,0.0,0.0,1.0,0.2785,0.0,0.0385,0.1458,0.4348,0.1154,0.2759,0.3981,0.4252,0.3818,0.1448,0.0961,0.5772,0.4485,0.4996,0.5183,0.2746,0.3977,0.3798,0.3798,0.3241,0.2451,0.0,0.2793,0.4661,0.1085,0.385
ÇÑµ¿¹Î,0.735,0.6711,0.4526,0.4444,0.5294,0.5,0.0,0.3636,0.0,0.1,0.0,0.0,0.6203,0.4444,0.7692,0.8229,0.2609,0.1538,0.6983,0.4306,0.4409,0.3636,0.1225,0.088,0.7462,0.5298,0.6156,0.6471,0.4601,0.5827,0.6127,0.6127,0.5981,0.4155,0.0,0.1266,0.6199,0.1288,0.42
¼Û±¤¹Î,0.7019,0.7315,0.4421,0.4259,0.5706,0.5278,0.0,0.2121,0.2051,0.2,0.1875,0.4545,0.1899,0.0,0.1154,0.7292,0.7826,0.6154,0.5862,0.4468,0.5984,0.4545,0.0902,0.088,0.4404,0.4272,0.4325,0.4344,0.2064,0.3109,0.4083,0.4083,0.3936,0.2639,0.3096,0.0766,0.5792,0.2102,0.5
±è»ó¼ö,0.8199,0.7629,0.3053,0.6667,0.6118,0.5,0.2,0.1515,0.5385,0.3,0.375,0.3636,0.557,0.1111,0.5769,0.4792,0.6087,0.3846,0.7414,0.4051,0.622,0.4,0.0902,0.088,0.6783,0.4216,0.5234,0.5607,0.3615,0.5106,0.6286,0.6286,0.5797,0.2279,0.3349,0.0608,0.5364,0.2102,0.5
ÀÌ¸í±â,0.8282,0.7987,0.2842,0.537,0.7,0.4167,0.3,0.0606,0.359,0.4,0.4375,0.3636,0.5316,0.2222,0.1538,0.4688,0.5217,0.0769,0.9224,0.4722,0.5748,0.4545,0.078,0.0839,0.6851,0.4179,0.5239,0.5628,0.2311,0.457,0.6427,0.6427,0.5716,0.136,0.1451,0.0305,0.6877,0.2407,0.52
¹Ú¼¼Çõ,0.7412,0.7025,0.5684,0.5,0.5882,0.4722,0.9,0.1212,0.2051,0.2,0.625,0.5455,0.443,0.1111,0.2692,0.4896,0.2174,0.3077,0.7069,0.6157,0.8346,0.6727,0.0295,0.0807,0.6299,0.5146,0.5603,0.5771,0.3698,0.5076,0.621,0.621,0.5711,0.3369,0.2212,0.0767,0.6023,0.6576,0.632
À¯°­³²,0.6646,0.651,0.4211,0.3704,0.5294,0.5556,0.0,0.4848,0.0,0.0,0.0625,0.5455,0.3038,0.2222,0.5,0.6354,0.913,0.2692,0.5086,0.3657,0.5118,0.3091,0.074,0.0799,0.5842,0.6404,0.6181,0.6099,0.4549,0.497,0.5247,0.5247,0.5153,0.558,0.0,0.1482,0.4966,0.2441,0.52
