선수명,IP,E,March_score,kWAR_score,AHP_score
강경학,-0.850416611348583,4.0,-3.614,-0.294,-0.072
강로한,0.7485007211600374,20.0,4.442,0.486,0.117
강민국,-0.9504885436944289,9.0,-4.128,-0.502,-0.102
강민호,2.4664005072208117,8.0,19.514,2.439,0.903
강백호,-0.8034546823938313,3.0,-4.16,-0.5169999999999999,-0.21900000000000003
강승호,-1.5058456596437326,1.0,-5.635999999999999,-0.611,-0.152
강진성,-0.7365870210155224,1.0,-1.591,-0.135,-0.024
고명성,-1.6340021774668063,2.0,-6.612,-0.7070000000000001,-0.172
고승민,0.060719586941966205,2.0,0.358,0.036,0.007
고장혁,-0.8879581766385476,4.0,-2.062,-0.143,-0.041999999999999996
고종욱,1.304460284340924,3.0,2.541,0.254,0.046
공민규,-0.18094698952440183,2.0,-0.354,0.0,-0.004
구본혁,-0.8492082784662511,1.0,-5.132000000000001,-0.55,-0.124
구자욱,2.5701340543616027,2.0,6.368,0.509,0.092
국해성,-1.5571082667729623,2.0,-3.1769999999999996,-0.179,-0.045
권희동,1.0255384965455736,4.0,1.6890000000000003,0.08099999999999999,0.017
김강민,2.8520783935723655,3.0,9.872,1.128,0.189
김경호,-1.579077955542632,0.0,-4.237,-0.42200000000000004,-0.073
김규민,0.05400224300282441,1.0,0.43100000000000005,0.013999999999999985,0.005999999999999998
김대한,-1.6596334810314213,1.0,-2.995,-0.29000000000000004,-0.05
김도환,0.480596955478306,1.0,3.826,0.478,0.177
김동엽,-0.13946089389767527,1.0,-0.27,-0.027,-0.005
김동한,-1.2007232987809684,2.0,-6.883,-0.837,-0.205
김문호,-1.1702220475390768,1.0,-2.8810000000000002,-0.279,-0.049
김민성,2.4651921743384797,6.0,9.614,1.442,0.298
김민수,-0.5254583119389955,1.0,-2.99,-0.402,-0.122
김민식,0.335340696562839,3.0,2.645,0.331,0.122
김민하,-1.1997978814404535,2.0,-3.325,-0.21000000000000002,-0.049
김민혁,1.4564007094667482,4.0,2.6390000000000002,0.30000000000000004,0.05400000000000001
김병희,-0.5544316986087888,0.0,-2.218,-0.333,-0.069
김사훈,-0.5947094613531835,0.0,-4.758,-0.595,-0.22
김상수,3.0193043412575022,10.0,17.808,1.781,0.368
김선빈,2.1084876746567196,10.0,14.776,1.7169999999999999,0.48300000000000004
김성욱,1.6043931658366453,2.0,5.983,0.7230000000000001,0.12000000000000001
김성현,3.570999842411861,26.0,23.847,2.725,0.746
김성훈,-1.7612698940973153,3.0,-6.066,-0.736,-0.175
김영환,-1.1308330859872475,0.0,-7.373,-0.796,-0.196
김용의,0.006401250668540248,5.0,0.1509999999999998,-0.317,-0.041
김웅빈,-1.1601260043468071,0.0,-5.821999999999999,-0.696,-0.144
김은성,-1.1491411599619723,1.0,-5.23,-0.6419999999999999,-0.133
김응민,-0.5092839881871174,0.0,-4.074,-0.509,-0.188
김인태,-0.6474999330545113,0.0,-1.475,-0.129,-0.023
김인환,-0.26150251501319116,1.0,-0.517,0.0,-0.006
김재성,-0.5544316986087888,0.0,-4.435,-0.554,-0.205
김재율,-0.5471084690188989,0.0,-2.188,-0.328,-0.068
김재현,-3.133732940402981,0.0,-11.243,-1.186,-0.267
김재호,3.0205126741398343,10.0,20.721,2.368,0.648
김재환,3.0815517927715668,0.0,6.163,0.616,0.111
김종민,-0.43114512846299163,0.0,-3.449,-0.431,-0.16
김주찬,0.9795019849313367,6.0,1.93,-0.075,0.015000000000000001
김주형,-1.8280677615988903,0.0,-3.634,-0.363,-0.075
김준완,-1.7096877552783192,0.0,-1.304,-0.104,-0.019
김준태,0.24746194148415968,2.0,1.962,0.245,0.091
김지수,-1.3325414313989872,2.0,-5.7059999999999995,-0.6749999999999999,-0.156
김진곤,-1.6657483777389797,0.0,-2.948,-0.322,-0.055999999999999994
김진형,-0.47387617311999947,0.0,-0.948,0.0,-0.01
김찬형,-0.48670841376669904,3.0,-1.271,-0.17500000000000004,-0.0030000000000000027
김창평,-0.7719948360826403,0.0,-5.234,-0.584,-0.153
김창혁,-0.5947094613531835,0.0,-4.758,-0.595,-0.22
김철호,-0.6130175353279084,0.0,0.0,0.0,0.0
김태군,-0.3554961667994286,0.0,-2.844,-0.355,-0.132
김태균,0.20106928203220695,1.0,0.4,0.0,0.004
김태근,-1.8280677615988903,0.0,0.0,0.0,0.0
김태연,-1.7939048955620536,1.0,-6.6160000000000005,-0.627,-0.143
김태진,-0.4470330982538878,3.0,-2.531,-0.254,-0.053000000000000005
김하성,2.744363699946863,20.0,17.754,2.063,0.555
김헌곤,1.7017289007280612,0.0,2.476,0.256,0.049
김현수,2.5795910341743395,1.0,5.158,0.486,0.09
김형준,0.4329959631440214,1.0,3.45,0.431,0.16
김혜성,1.4100080500147953,15.0,10.286000000000001,1.028,0.261
김호재,-1.5607698815679072,0.0,-8.773,-1.037,-0.241
김회성,-0.8528332771132467,2.0,-4.637,-0.519,-0.108
나경민,-1.4118520078574952,0.0,-3.5860000000000003,-0.35,-0.061
나성범,-0.4949570606971038,0.0,-1.2670000000000001,-0.105,-0.019000000000000003
나종덕,1.4216319577791632,5.0,11.259,1.407,0.521
나주환,0.08329516136238435,1.0,2.774,0.28,0.048999999999999995
나지완,-0.9477523462399989,0.0,-2.174,-0.19,-0.034
남태혁,-0.5690781577885686,0.0,-1.138,0.0,-0.013
노수광,1.4307694059021334,3.0,3.532,0.367,0.064
노시환,-0.8861073419575181,7.0,-7.4030000000000005,-0.9269999999999999,-0.309
노진혁,1.0792543855874164,5.0,9.022,1.238,0.306
러프,2.2405887228165553,5.0,4.45,0.0,0.049
로맥,3.08855549067169,4.0,5.48,-0.213,0.032
로하스,1.5159119635263827,6.0,5.723999999999999,0.823,0.126
류승현,-1.9495034970636573,1.0,-3.861,-0.509,-0.10300000000000001
류지혁,-0.5532199273072922,11.0,2.652,0.387,0.087
류형우,-1.1271714711923024,0.0,-3.4080000000000004,-0.346,-0.08299999999999999
모창민,1.3789009131221555,5.0,2.733,0.0,0.03
문규현,-1.9064895368648327,3.0,-8.966000000000001,-0.874,-0.218
문상철,-0.2310012637712996,4.0,-0.446,0.0,-0.005
문선재,-1.361834349758547,2.0,-2.957,-0.182,-0.040999999999999995
민병헌,1.6922719209153245,2.0,6.374,0.774,0.128
박건우,2.4367880571714857,3.0,5.5840000000000005,0.3969999999999999,0.07300000000000001
박경수,2.9851414752206655,9.0,17.624,1.762,0.364
박계범,-0.32922236143611594,9.0,-1.191,-0.14799999999999996,-0.020999999999999998
박동원,1.6095826452036885,1.0,12.851,1.606,0.594
박민석,-1.2223734558608719,0.0,-4.265,-0.487,-0.133
박민우,2.782507712468411,9.0,16.411,1.641,0.339
박병호,2.7031971360099027,6.0,5.374,0.0,0.059
박석민,1.1237962103583394,11.0,4.122,0.618,0.128
박세혁,3.307363577175823,8.0,26.221,3.278,1.213
박승규,-1.6230173330819717,0.0,-4.263,-0.42300000000000004,-0.07400000000000001
박승욱,-0.44550523368178957,5.0,-3.461,-0.526,-0.12699999999999997
박용택,-1.1393646484594693,0.0,-1.053,-0.105,-0.019
박유연,-0.6093559205329634,0.0,-4.875,-0.609,-0.225
박정권,-0.4616829958528327,0.0,-0.923,0.0,-0.01
박정음,-1.0872132401376742,0.0,-3.137,-0.309,-0.054000000000000006
박준태,-1.3874290371752123,0.0,-3.715,-0.38699999999999996,-0.067
박준혁,-1.8207445320090003,0.0,0.0,0.0,0.0
박지규,-1.068585634473183,1.0,-5.069,-0.623,-0.129
박찬도,-1.5107156073210095,0.0,-4.0649999999999995,-0.41700000000000004,-0.073
박찬호,2.3278650306636512,16.0,10.485,1.49,0.34800000000000003
박한결,-0.5104923210694492,0.0,-3.573,-0.408,-0.112
박한이,-0.9978066204868967,1.0,-2.085,-0.186,-0.033
박해민,3.0226464243626805,2.0,11.357,1.426,0.22699999999999998
박헌욱,-1.7511738509050456,0.0,-3.416,-0.341,-0.059
배성근,-1.4362749785397781,3.0,-7.321,-0.847,-0.20400000000000001
배영섭,-1.2653874160596965,0.0,-1.56,-0.132,-0.023
배정대,-1.0689051661629494,1.0,-2.518,-0.227,-0.041
백동훈,-1.341072993871209,0.0,-3.524,-0.35400000000000004,-0.061
백승민,-0.4226135659907699,1.0,-0.832,0.0,-0.009
백승현,-1.568093111157797,1.0,-8.764,-1.0190000000000001,-0.239
백용환,-0.23466287856624454,2.0,-1.838,-0.23,-0.085
백창수,-0.8427738500689266,0.0,-1.947,-0.16899999999999998,-0.031
베탄코트,-0.43544580663746946,10.0,-2.4799999999999995,-0.279,-0.10400000000000001
변우혁,-0.7390403029281356,1.0,-0.258,0.0,-0.003
샌즈,2.6955543747302464,5.0,6.659,0.549,0.097
서건창,1.1445575662456775,6.0,6.716,0.672,0.139
서상우,-0.5947094613531835,0.0,-1.189,0.0,-0.013
서예일,-1.7939048955620533,0.0,-5.9399999999999995,-0.711,-0.147
손시헌,0.6441246722205483,4.0,4.419,0.505,0.138
손아섭,3.2890555032010984,4.0,8.099,0.648,0.117
손주인,-1.5253620665007892,4.0,-5.829,-0.601,-0.134
송광민,2.9497336601535475,16.0,11.197,1.68,0.347
송민섭,-1.1799985590415798,0.0,-3.23,-0.331,-0.057999999999999996
송성문,0.5629666995001755,7.0,3.972,0.671,0.126
송승환,-0.6130175353279084,0.0,0.0,0.0,0.0
송준석,-1.425290134154943,1.0,-3.883,-0.395,-0.068
스몰린스키,1.0518088634897214,3.0,2.574,0.206,0.037
신민재,-1.1567839212416289,0.0,-4.676,-0.61,-0.119
신범수,-0.1528624040471739,1.0,-1.213,-0.152,-0.056
신본기,1.601656968382215,15.0,12.811999999999998,1.4300000000000002,0.43499999999999994
신성현,-3.277744250288167,2.0,-10.543,-1.1,-0.219
신용수,-1.6511019185592,4.0,-5.915,-0.629,-0.15000000000000002
심우준,1.9580053202262597,11.0,15.623000000000001,1.7599999999999998,0.519
아수아헤,0.7954958278435734,3.0,4.706,0.471,0.097
안상현,-0.16050516532683035,6.0,-1.497,-0.196,-0.065
안승한,-0.18094698952440183,2.0,-1.417,-0.177,-0.066
안중열,0.7808493686637935,5.0,6.147,0.768,0.284
안치영,-1.1857573079114219,0.0,-5.947,-0.711,-0.147
안치홍,1.7154499425673266,11.0,11.301,1.198,0.241
양성우,-0.746683064207792,0.0,-0.5129999999999999,-0.032,-0.006
양의지,2.031876679504692,2.0,16.206,2.026,0.75
양종민,-1.4118520078574952,4.0,-5.599,-0.5,-0.11499999999999999
예진원,-1.167449233936697,0.0,-2.6260000000000003,-0.234,-0.042
오선우,-1.4081903930625503,0.0,-1.689,-0.039,-0.02
오선진,1.7444599453850689,12.0,14.009,1.566,0.475
오윤석,-0.08272245344042051,5.0,-0.863,-0.27099999999999996,-0.04599999999999999
오재원,0.5388632605076592,7.0,5.486000000000001,0.67,0.125
오재일,3.206046695799696,4.0,6.386,0.0,0.07
오정환,-2.1884338760755955,1.0,-5.889,-0.5740000000000001,-0.131
오준혁,-0.6130175353279084,0.0,0.0,0.0,0.0
오지환,3.414758739111559,12.0,23.449,2.68,0.734
오태곤,0.43939721381256147,9.0,-0.03200000000000003,-0.46399999999999997,-0.046
윌리엄슨,-0.7649911381825168,2.0,-2.316,-0.261,-0.044
윌슨,0.1077181320446674,4.0,-0.34999999999999964,0.186,0.03399999999999999
유강남,2.92897230426621,7.0,23.244,2.906,1.075
유민상,0.42688106643646323,3.0,0.845,0.0,0.009
유영준,-1.196742152296257,0.0,-3.612,-0.366,-0.089
유장혁,-0.7305087404559139,0.0,-2.177,-0.242,-0.041
유재신,-1.8967130253623297,1.0,-4.883,-0.37,-0.07700000000000001
유한준,0.189801522105555,2.0,1.916,0.153,0.028
윤석민,-0.10312766149004265,5.0,-0.431,-0.076,-0.015
윤수강,-0.5947094613531835,1.0,-3.806,-0.476,-0.176
윤진호,-0.9334254187499855,2.0,-5.351,-0.625,-0.152
윤해진,-0.6056943057380184,0.0,0.0,0.0,0.0
이대형,-1.2113886114760368,0.0,-3.32,-0.362,-0.062
이대호,-0.07596849335332959,1.0,-0.151,0.0,-0.002
이동훈,-1.5851928522501904,0.0,-4.2410000000000005,-0.42099999999999993,-0.07300000000000001
이명기,1.911685893070206,2.0,4.4670000000000005,0.40800000000000003,0.07300000000000001
이범호,-1.1784340783215321,0.0,-3.553,-0.359,-0.087
이상호,-1.168371212858047,5.0,-1.859,-0.249,-0.041999999999999996
이성곤,-1.0868937084479078,0.0,-2.425,-0.21800000000000003,-0.039
이성규,-1.5497850371830724,3.0,-8.177,-0.9480000000000001,-0.22299999999999998
이성열,0.16751230164611874,5.0,1.88,0.156,0.027
이성우,0.15225995681559046,3.0,1.195,0.149,0.055
이우성,-0.8675163524409759,1.0,-1.3439999999999999,-0.161,-0.025999999999999995
이원석,-0.37746241714993367,13.0,3.979,0.7759999999999999,0.17300000000000001
이원재,0.08574844327499742,4.0,-0.1449999999999998,-0.129,-0.008
이유찬,-1.1100717300999094,1.0,-5.291,-0.645,-0.134
이인행,-0.48119940270988937,0.0,-1.203,-0.096,-0.017
이인혁,-1.7731435396747157,0.0,-3.4979999999999998,-0.351,-0.06
이재원,3.1950618514148608,6.0,25.407,3.176,1.175
이정후,2.331526645458596,2.0,5.667,0.573,0.1
이정훈,-0.49950747668461426,0.0,-3.996,-0.5,-0.185
이준수,-0.0979381821229994,2.0,-0.769,-0.096,-0.036
이지영,1.5985978008188537,3.0,12.712,1.589,0.588
이진영,-1.703572858570761,0.0,-4.551,-0.45799999999999996,-0.079
이찬건,-0.5947094613531835,0.0,-2.081,-0.238,-0.04
이창열,-1.7951132284443854,0.0,-2.335,-0.35,-0.072
이창진,1.8750331289728068,5.0,7.334,0.8769999999999999,0.136
이천웅,2.0691353292528403,1.0,8.587,1.047,0.173
이학주,2.2024447102950075,19.0,17.62,2.152,0.576
이해창,-0.23832449336118952,1.0,-1.882,-0.235,-0.087
이현동,-0.5910478465582385,1.0,-0.986,-0.079,-0.014
이현석,-0.5837246169683485,0.0,-4.67,-0.584,-0.216
이형종,0.30267251736931616,2.0,0.7669999999999998,0.18,0.019
이흥련,-0.283472203782861,0.0,-2.268,-0.283,-0.105
임병욱,2.6958739064200126,4.0,9.294,1.062,0.178
임재현,-1.193080537501312,0.0,-1.197,-0.12,-0.022
임지열,-1.1235098563973573,2.0,-2.747,-0.262,-0.065
장성우,2.7215052099846275,5.0,21.62,2.702,1.0
장승현,-0.18094698952440183,0.0,-1.448,-0.181,-0.067
장영석,1.4481520625363435,10.0,5.1739999999999995,0.719,0.153
장운호,-1.1418179303720821,0.0,-2.572,-0.228,-0.041
장진혁,0.8692973932452717,3.0,2.633,0.30400000000000005,0.052
전민수,-1.3703659122307688,0.0,-3.832,-0.395,-0.068
전민재,-0.6130175353279084,0.0,-2.452,-0.368,-0.076
전병우,-2.0981384552322524,2.0,-9.938,-1.092,-0.266
전준우,3.032422935865184,4.0,5.118,0.484,0.09
전준호,-0.528800395044174,0.0,-4.23,-0.529,-0.196
정근우,0.8134843701285317,6.0,2.58,0.263,0.047
정범모,-0.23953282624352135,1.0,-1.895,-0.237,-0.088
정병곤,-1.565639829245184,1.0,-8.401,-1.009,-0.23399999999999999
정보근,-0.2883421514601378,0.0,-2.307,-0.288,-0.107
정상호,-0.38233580324637517,0.0,-3.059,-0.382,-0.141
정수빈,3.09132830427407,3.0,10.711,1.224,0.205
정은원,3.7504189673641646,13.0,22.097,2.21,0.457
정의윤,0.14340886265360225,1.0,0.286,0.029,0.005
정주현,2.942410430563658,13.0,17.213,1.721,0.356
정준혁,-1.1454795451670274,0.0,-1.072,-0.107,-0.019
정진기,-1.6962496289808713,0.0,-3.636,-0.217,-0.052000000000000005
정진호,-0.8565315080561411,0.0,-2.3219999999999996,-0.237,-0.041
정현,-1.4411815423650045,0.0,-7.904999999999999,-0.955,-0.22199999999999998
정훈,-1.5674872255070489,4.0,-2.8680000000000003,-0.312,-0.055
조셉,0.6905173316725011,4.0,1.367,0.0,0.015
조용호,-0.6490277976266096,0.0,-1.6680000000000001,-0.183,-0.032
조홍석,-1.3899189352357748,0.0,-3.668,-0.369,-0.064
주효상,-0.37501257365648527,1.0,-2.949,-0.369,-0.136
지석훈,-0.3963763767754068,5.0,-3.134,-0.291,-0.07300000000000001
지성준,0.06558953461924306,0.0,0.525,0.066,0.024
채은성,2.6287198910807223,2.0,6.506,0.52,0.094
채태인,0.6368014426306583,1.0,1.27,0.0,0.014
최경모,-1.0612624048832928,2.0,-6.446,-0.698,-0.17300000000000001
최민재,-0.5947094613531835,0.0,-1.487,-0.119,-0.021
최선호,-1.7475122361101008,0.0,-4.710999999999999,-0.472,-0.082
최승민,-0.5275920621618422,0.0,-1.847,-0.211,-0.035
최승준,-0.521477165454284,0.0,-1.043,0.0,-0.011
최영진,1.0063416213782834,8.0,3.168,0.366,0.08399999999999999
최원준,-1.248926738346836,6.0,-5.244,-0.38400000000000006,-0.11500000000000002
최윤석,-1.1161866268074676,2.0,-3.019,-0.345,-0.094
최재훈,3.1279444522235194,6.0,24.848,3.106,1.149
최정,2.993353506003121,14.0,13.786,2.068,0.427
최정민,-2.4154539933621835,0.0,-3.292,-0.359,-0.062
최정용,-1.718219317750541,1.0,-6.619,-0.677,-0.152
최주환,0.06132547259271459,3.0,3.5200000000000005,0.34700000000000003,0.06100000000000001
최준우,-0.9477523462399989,0.0,-2.03,-0.203,-0.042
최진행,0.3609720001274538,0.0,0.722,0.072,0.013
최항,-0.08727286942793089,3.0,1.4100000000000001,0.24,0.03900000000000001
최형우,0.6648860281078863,0.0,1.33,0.133,0.024
추재현,-0.6020326909430734,0.0,-1.505,-0.12,-0.022
터커,1.5787618622720307,4.0,3.56,0.309,0.05500000000000001
페게로,-0.9968812031463817,6.0,-2.248,-0.21500000000000002,-0.037
페르난데스,-0.18827021911429176,3.0,-0.366,0.0,-0.004
하주석,-0.47753778791494444,2.0,-3.052,-0.349,-0.095
한동민,2.2125407534872767,4.0,5.41,0.433,0.078
한동희,0.23494923252722644,9.0,1.6039999999999999,0.363,0.066
한승택,1.9537744359285159,5.0,15.505,1.938,0.717
한준수,-0.47387617311999947,0.0,-3.791,-0.474,-0.175
해즐베이커,-0.9257826574703291,1.0,-2.3179999999999996,-0.248,-0.043
허경민,2.1154913725568427,8.0,9.322,1.581,0.326
허도환,0.2706399631361614,2.0,2.148,0.268,0.099
허일,-1.868665056033051,1.0,-4.349,-0.309,-0.067
허정협,-0.8415655171865948,0.0,-1.936,-0.168,-0.03
호잉,2.575966035527344,2.0,7.359,0.706,0.122
홍재호,-1.053939175293403,1.0,-6.802999999999999,-0.74,-0.184
홍창기,-1.6596334810314215,0.0,-4.434,-0.445,-0.078
황대인,-1.057600790088348,0.0,-3.3329999999999997,-0.366,-0.086
황윤호,-0.7600845743572906,6.0,-4.5600000000000005,-0.546,-0.139
황재균,1.9092326111575926,11.0,7.2940000000000005,1.371,0.248
황진수,-1.195533819413925,0.0,-2.33,-0.35,-0.072
